,round_lat,round_lon,date,time,latitude,longitude,frp
0,19.4,-155.1,01/10/2015,1120,19.413960999999997,-155.091431,24.02
1,32.0,-91.7,01/10/2015,1911,31.958311,-91.721252,81.7
2,30.8,-95.0,01/10/2015,1911,30.798439000000002,-95.018036,69.37
3,31.1,-90.8,01/10/2015,1911,31.059824,-90.76731099999999,128.65
4,31.1,-90.8,01/10/2015,1911,31.056521999999998,-90.76664699999999,128.65
5,35.8,-92.0,01/10/2015,1912,35.773163000000004,-92.00748399999999,22.05
6,35.7,-90.0,01/10/2015,1912,35.725906,-90.02153,13.13
7,34.9,-94.4,01/10/2015,1912,34.877959999999995,-94.371155,52.23
8,36.0,-92.9,01/10/2015,1912,35.974304,-92.896408,8.73
9,34.1,-91.4,01/10/2015,1912,34.076683,-91.397209,6.46
10,33.1,-91.6,01/10/2015,1912,33.132381,-91.551949,20.26
11,33.1,-91.6,01/10/2015,1912,33.135677,-91.55265,20.26
12,34.2,-91.7,01/10/2015,1912,34.244808,-91.723915,65.32
13,35.5,-90.5,01/10/2015,1912,35.479546,-90.511139,26.89
14,35.3,-90.2,01/10/2015,1912,35.306087,-90.172256,29.04
15,34.3,-91.8,01/10/2015,1912,34.321583000000004,-91.77449,7.19
16,34.8,-91.7,01/10/2015,1912,34.763348,-91.694664,70.3
17,38.1,-99.1,01/10/2015,1913,38.092964,-99.064484,410.86
18,36.1,-105.8,01/10/2015,1913,36.067679999999996,-105.803261,8.62
19,36.7,-119.5,01/10/2015,2054,36.744648,-119.48568700000001,10.65
20,19.4,-155.1,02/10/2015,1242,19.432093,-155.082214,16.37
21,19.4,-155.1,02/10/2015,1242,19.437582,-155.080704,16.37
22,28.8,-95.6,02/10/2015,1852,28.796494,-95.611755,10.22
23,28.8,-95.6,02/10/2015,1852,28.802329999999998,-95.609818,10.22
24,28.8,-95.6,02/10/2015,1852,28.797287,-95.608337,10.22
25,31.1,-93.8,02/10/2015,1852,31.107319,-93.788322,11.23
26,27.2,-98.1,02/10/2015,1852,27.204836,-98.125702,14.18
27,33.9,-91.3,02/10/2015,1853,33.880276,-91.34300999999999,14.87
28,31.2,-100.4,02/10/2015,1853,31.223509000000004,-100.35586500000001,58.11
29,31.2,-100.4,02/10/2015,1853,31.221926,-100.361649,58.11
30,31.2,-100.4,02/10/2015,1853,31.227992999999998,-100.364006,58.11
31,34.9,-94.4,02/10/2015,1853,34.881283,-94.354607,80.28
32,28.8,-97.8,02/10/2015,2032,28.819446999999997,-97.75235699999999,12.81
33,28.3,-96.9,02/10/2015,2032,28.294302000000002,-96.880386,14.48
34,32.8,-96.0,02/10/2015,2034,32.786106,-96.020744,17.63
35,39.2,-96.9,02/10/2015,2035,39.178356,-96.87245899999999,17.93
36,39.2,-96.8,02/10/2015,2035,39.174881,-96.839523,62.19
37,39.2,-96.8,02/10/2015,2035,39.167736,-96.839523,62.19
38,35.7,-119.9,02/10/2015,2035,35.743854999999996,-119.906433,12.77
39,36.6,-119.5,02/10/2015,2035,36.552834000000004,-119.535156,17.84
40,46.1,-117.0,02/10/2015,2038,46.076626,-116.985184,20.21
41,46.4,-116.3,02/10/2015,2038,46.371033000000004,-116.285271,12.74
42,46.2,-116.3,02/10/2015,2038,46.246418,-116.300529,112.4
43,48.3,-115.7,02/10/2015,2038,48.28495,-115.678177,19.76
44,35.8,-119.3,03/10/2015,856,35.784382,-119.29868300000001,7.2
45,19.4,-155.1,03/10/2015,1223,19.433670000000003,-155.082428,9.15
46,30.0,-92.0,03/10/2015,1833,30.038925,-92.009743,9.09
47,29.9,-92.3,03/10/2015,1833,29.917212,-92.31693299999999,15.89
48,31.0,-93.4,03/10/2015,1834,30.957596000000002,-93.366676,23.45
49,31.0,-95.3,03/10/2015,1834,31.002434,-95.253906,27.07
50,30.9,-94.4,03/10/2015,1834,30.940958000000002,-94.373886,49.01
51,30.9,-94.4,03/10/2015,1834,30.935115999999997,-94.37207,49.01
52,31.1,-93.5,03/10/2015,1834,31.101885,-93.52726,15.12
53,38.8,-95.0,03/10/2015,1836,38.755897999999995,-95.00883499999999,7.52
54,35.6,-92.6,03/10/2015,2015,35.556453999999995,-92.58691400000001,23.45
55,32.8,-91.7,03/10/2015,2015,32.79105,-91.66624499999999,35.99
56,34.8,-94.4,03/10/2015,2015,34.806473,-94.36279300000001,19.36
57,37.9,-108.8,03/10/2015,2016,37.892799,-108.84587900000001,113.4
58,35.1,-112.2,03/10/2015,2016,35.127280999999996,-112.238403,17.08
59,35.1,-112.3,03/10/2015,2016,35.124390000000005,-112.25376100000001,18.56
60,35.7,-119.9,03/10/2015,2016,35.736996000000005,-119.885925,8.07
61,40.7,-92.9,03/10/2015,2017,40.661377,-92.928841,21.44
62,36.6,-119.4,03/10/2015,2017,36.635467999999996,-119.35234799999999,12.97
63,36.6,-119.6,03/10/2015,2017,36.627827,-119.62049099999999,3.7
64,36.3,-119.1,03/10/2015,2157,36.274921,-119.133774,10.83
65,38.1,-122.5,03/10/2015,2158,38.136909,-122.504364,14.67
66,30.9,-94.8,04/10/2015,1955,30.8941,-94.831192,16.48
67,35.6,-90.2,04/10/2015,1956,35.637791,-90.224838,20.78
68,37.9,-88.2,04/10/2015,1957,37.875427,-88.228523,19.36
69,39.2,-96.9,04/10/2015,1957,39.232143,-96.877251,86.76
70,39.2,-96.9,04/10/2015,1957,39.23259,-96.871948,86.76
71,36.2,-89.9,04/10/2015,1957,36.212265,-89.94268000000001,43.37
72,39.3,-122.1,04/10/2015,1959,39.346367,-122.14169299999999,24.28
73,46.1,-117.5,04/10/2015,2141,46.074944,-117.546944,44.17
74,46.1,-117.6,04/10/2015,2141,46.080742,-117.551064,44.17
75,47.7,-115.8,04/10/2015,2141,47.691181,-115.78843700000002,15.9
76,46.8,-115.4,04/10/2015,2141,46.783173,-115.434853,11.07
77,19.4,-155.1,04/10/2015,2315,19.436501999999997,-155.082367,35.93
78,19.4,-155.1,04/10/2015,2315,19.432539000000002,-155.081558,35.93
79,34.3,-90.2,05/10/2015,1757,34.320808,-90.20721400000001,15.34
80,34.2,-88.5,05/10/2015,1757,34.185978000000006,-88.477531,15.54
81,34.1,-88.3,05/10/2015,1757,34.065964,-88.26892099999999,45.5
82,27.3,-98.0,05/10/2015,1935,27.310427,-97.997505,9.94
83,30.8,-94.8,05/10/2015,1936,30.778021000000003,-94.787201,100.51
84,30.5,-90.7,05/10/2015,1936,30.540678000000003,-90.686684,19.05
85,29.7,-93.9,05/10/2015,1936,29.701067,-93.89621,13.18
86,30.2,-91.2,05/10/2015,1936,30.211696999999997,-91.21302800000001,21.25
87,33.4,-91.3,05/10/2015,1937,33.364449,-91.34787,12.09
88,34.3,-90.3,05/10/2015,1937,34.263584,-90.333588,12.17
89,34.5,-90.9,05/10/2015,1937,34.485141999999996,-90.94099399999999,188.15
90,35.7,-91.2,05/10/2015,1937,35.661419,-91.247284,9.01
