State Name,AQI,Date
Alabama,141,2015-01-01
Alabama,170,2015-02-01
Alabama,101,2015-03-01
Alabama,80,2015-04-01
Alabama,122,2015-05-01
Alabama,112,2015-06-01
Alabama,90,2015-07-01
Alabama,147,2015-08-01
Alabama,97,2015-09-01
Alabama,129,2015-10-01
Alabama,74,2015-11-01
Alabama,92,2015-12-01
Alaska,238,2015-01-01
Alaska,180,2015-02-01
Alaska,112,2015-03-01
Alaska,97,2015-04-01
Alaska,71,2015-05-01
Alaska,220,2015-06-01
Alaska,235,2015-07-01
Alaska,93,2015-08-01
Alaska,44,2015-09-01
Alaska,84,2015-10-01
Alaska,172,2015-11-01
Alaska,165,2015-12-01
Arizona,152,2015-01-01
Arizona,176,2015-02-01
Arizona,881,2015-03-01
Arizona,200,2015-04-01
Arizona,181,2015-05-01
Arizona,195,2015-06-01
Arizona,162,2015-07-01
Arizona,200,2015-08-01
Arizona,183,2015-09-01
Arizona,157,2015-10-01
Arizona,542,2015-11-01
Arizona,266,2015-12-01
Arkansas,84,2015-01-01
Arkansas,63,2015-02-01
Arkansas,63,2015-03-01
Arkansas,84,2015-04-01
Arkansas,93,2015-05-01
Arkansas,101,2015-06-01
Arkansas,84,2015-07-01
Arkansas,87,2015-08-01
Arkansas,87,2015-09-01
Arkansas,101,2015-10-01
Arkansas,74,2015-11-01
Arkansas,67,2015-12-01
California,180,2015-01-01
California,3190,2015-02-01
California,143,2015-03-01
California,3994,2015-04-01
California,203,2015-05-01
California,223,2015-06-01
California,238,2015-07-01
California,204,2015-08-01
California,320,2015-09-01
California,192,2015-10-01
California,1383,2015-11-01
California,1968,2015-12-01
Colorado,94,2015-01-01
Colorado,81,2015-02-01
Colorado,134,2015-03-01
Colorado,293,2015-04-01
Colorado,108,2015-05-01
Colorado,169,2015-06-01
Colorado,161,2015-07-01
Colorado,299,2015-08-01
Colorado,119,2015-09-01
Colorado,84,2015-10-01
Colorado,84,2015-11-01
Colorado,111,2015-12-01
Connecticut,78,2015-01-01
Connecticut,99,2015-02-01
Connecticut,83,2015-03-01
Connecticut,106,2015-04-01
Connecticut,147,2015-05-01
Connecticut,174,2015-06-01
Connecticut,154,2015-07-01
Connecticut,166,2015-08-01
Connecticut,177,2015-09-01
Connecticut,67,2015-10-01
Connecticut,85,2015-11-01
Connecticut,85,2015-12-01
Country Of Mexico,125,2015-02-01
Country Of Mexico,174,2015-03-01
Country Of Mexico,73,2015-04-01
Country Of Mexico,94,2015-05-01
Country Of Mexico,69,2015-06-01
Country Of Mexico,83,2015-07-01
Country Of Mexico,107,2015-08-01
Country Of Mexico,133,2015-09-01
Country Of Mexico,137,2015-10-01
Country Of Mexico,152,2015-11-01
Country Of Mexico,163,2015-12-01
Delaware,102,2015-01-01
Delaware,92,2015-02-01
Delaware,101,2015-03-01
Delaware,93,2015-04-01
Delaware,97,2015-05-01
Delaware,172,2015-06-01
Delaware,105,2015-07-01
Delaware,97,2015-08-01
Delaware,143,2015-09-01
Delaware,74,2015-10-01
Delaware,66,2015-11-01
Delaware,90,2015-12-01
District Of Columbia,79,2015-01-01
District Of Columbia,77,2015-02-01
District Of Columbia,69,2015-03-01
District Of Columbia,71,2015-04-01
District Of Columbia,87,2015-05-01
District Of Columbia,126,2015-06-01
District Of Columbia,100,2015-07-01
District Of Columbia,100,2015-08-01
District Of Columbia,126,2015-09-01
District Of Columbia,65,2015-10-01
District Of Columbia,64,2015-11-01
District Of Columbia,90,2015-12-01
Florida,111,2015-01-01
Florida,101,2015-02-01
Florida,105,2015-03-01
Florida,119,2015-04-01
Florida,111,2015-05-01
Florida,141,2015-06-01
Florida,104,2015-07-01
Florida,100,2015-08-01
Florida,83,2015-09-01
Florida,107,2015-10-01
Florida,82,2015-11-01
Florida,65,2015-12-01
Georgia,85,2015-01-01
Georgia,85,2015-02-01
Georgia,180,2015-03-01
Georgia,233,2015-04-01
Georgia,161,2015-05-01
Georgia,105,2015-06-01
Georgia,129,2015-07-01
Georgia,172,2015-08-01
Georgia,101,2015-09-01
Georgia,75,2015-10-01
Georgia,80,2015-11-01
Georgia,96,2015-12-01
Hawaii,222,2015-01-01
Hawaii,200,2015-02-01
Hawaii,200,2015-03-01
Hawaii,200,2015-04-01
Hawaii,200,2015-05-01
Hawaii,200,2015-06-01
Hawaii,200,2015-07-01
Hawaii,200,2015-08-01
Hawaii,200,2015-09-01
Hawaii,200,2015-10-01
Hawaii,200,2015-11-01
Hawaii,213,2015-12-01
Idaho,150,2015-01-01
Idaho,117,2015-02-01
Idaho,92,2015-03-01
Idaho,103,2015-04-01
Idaho,80,2015-05-01
Idaho,105,2015-06-01
