state_county, latitude , longitude 
Alabama_Autauga, 32.54167 ,-86.60833 
Alabama_Baldwin, 30.59200 ,-87.71150 
Alabama_Barbour, 31.81500 ,-85.44000 
Alabama_Bibb, 32.99571 ,-87.06143 
Alabama_Blount, 33.92429 ,-86.62143 
Alabama_Bullock, 32.12333 ,-85.71000 
Alabama_Butler, 31.71250 ,-86.72750 
Alabama_Calhoun, 33.73333 ,-85.83417 
Alabama_Chambers, 32.86200 ,-85.27000 
Alabama_Cherokee, 34.20000 ,-85.64250 
Alabama_Chilton, 32.82714 ,-86.71286 
Alabama_Choctaw, 32.01111 ,-88.26889 
Alabama_Clarke, 31.68000 ,-87.82545 
Alabama_Clay, 33.31000 ,-85.73750 
Alabama_Cleburne, 33.65750 ,-85.43000 
Alabama_Coffee, 31.42500 ,-86.02500 
Alabama_Colbert, 34.73000 ,-87.70600 
Alabama_Conecuh, 31.35200 ,-87.12200 
Alabama_Coosa, 32.92800 ,-86.17400 
Alabama_Covington, 31.23333 ,-86.45167 
Alabama_Crenshaw, 31.75429 ,-86.30857 
Alabama_Cullman, 34.15727 ,-86.82182 
Alabama_Dale, 31.40714 ,-85.62857 
Alabama_Dallas, 32.35375 ,-87.11125 
Alabama_Dekalb, 34.46500 ,-85.80857 
Alabama_Elmore, 32.56444 ,-86.21889 
Alabama_Escambia, 31.04667 ,-87.27000 
Alabama_Etowah, 34.02000 ,-86.09100 
Alabama_Fayette, 33.74250 ,-87.68000 
Alabama_Franklin, 34.40571 ,-87.84714 
Alabama_Geneva, 31.09857 ,-85.81429 
Alabama_Greene, 32.80000 ,-87.89250 
Alabama_Hale, 32.77800 ,-87.64400 
Alabama_Henry, 31.46333 ,-85.26000 
Alabama_Houston, 31.18333 ,-85.28556 
Alabama_Jackson, 34.75944 ,-85.99056 
Alabama_Jefferson, 33.54617 ,-86.82766 
Alabama_Lamar, 33.78667 ,-88.08000 
Alabama_Lauderdale, 34.86500 ,-87.56000 
Alabama_Lawrence, 34.54571 ,-87.25857 
Alabama_Lee, 32.60125 ,-85.31625 
Alabama_Limestone, 34.82250 ,-86.93500 
Alabama_Lowndes, 32.16500 ,-86.58333 
Alabama_Macon, 32.42000 ,-85.77800 
Alabama_Madison, 34.73045 ,-86.59136 
Alabama_Marengo, 32.29125 ,-87.72125 
Alabama_Marion, 34.09333 ,-87.83167 
Alabama_Marshall, 34.33444 ,-86.26889 
Alabama_Mobile, 30.69848 ,-88.09970 
Alabama_Monroe, 31.58286 ,-87.34143 
Alabama_Montgomery, 32.30300 ,-86.23250 
Alabama_Morgan, 34.47125 ,-86.83125 
Alabama_Perry, 32.53500 ,-87.40500 
Alabama_Pickens, 33.29600 ,-88.07200 
Alabama_Pike, 31.76600 ,-85.93600 
Alabama_Randolph, 33.27800 ,-85.42400 
Alabama_Russell, 32.32429 ,-85.16143 
Alabama_Shelby, 33.27800 ,-86.65800 
Alabama_St Clair, 33.67200 ,-86.30100 
Alabama_Sumter, 32.57571 ,-88.21571 
Alabama_Talladega, 33.35571 ,-86.17000 
Alabama_Tallapoosa, 32.90000 ,-85.76000 
Alabama_Tuscaloosa, 33.21833 ,-87.54778 
Alabama_Walker, 33.80667 ,-87.27417 
Alabama_Washington, 31.42000 ,-88.18909 
Alabama_Wilcox, 32.01333 ,-87.42667 
Alabama_Winston, 34.13333 ,-87.36333 
Alaska_Anchorage Borough, 61.18667 ,-149.70933 
Alaska_City and Borough of Juneau, 58.47000 ,-134.15000 
Alaska_Denali Borough, 64.01000 ,-148.35000 
Alaska_Fairbanks North Star Borough, 64.73667 ,-147.39444 
Alaska_Haines Borough, 59.16000 ,-135.86000 
Alaska_Juneau Borough, 58.40500 ,-134.57500 
Alaska_Kenai Peninsula Borough, 60.27083 ,-150.62250 
Alaska_Ketchikan Gateway Borough, 55.61000 ,-131.58000 
Alaska_Kodiak Island Borough, 57.79000 ,-152.40000 
Alaska_Matanuska-Susitna Borough, 61.85750 ,-149.13000 
Alaska_Municipality of Anchorage, 61.21500 ,-149.92250 
Alaska_Sitka Borough, 56.73000 ,-135.00000 
Alaska_Southeast Fairbanks Census Area, 63.63250 ,-144.08500 
Alaska_Valdez-Cordova Census Area, 61.89750 ,-144.93500 
Alaska_Yukon-Koyukuk Census Area, 64.37500 ,-148.88000 
Arizona_Apache, 34.87111 ,-109.42889 
Arizona_Cochise, 31.73824 ,-109.91059 
Arizona_Coconino, 35.74250 ,-111.59375 
Arizona_Gila, 33.53000 ,-110.92250 
Arizona_Graham, 32.87250 ,-109.80500 
Arizona_Greenlee, 33.14750 ,-109.23000 
Arizona_La Paz, 33.67667 ,-114.17333 
Arizona_Maricopa, 33.49397 ,-112.05055 
Arizona_Mohave, 35.20706 ,-114.23118 
Arizona_Navajo, 34.51714 ,-110.19000 
Arizona_Pima, 32.18550 ,-111.01950 
Arizona_Pinal, 33.00958 ,-111.49500 
Arizona_Santa Cruz, 31.55167 ,-110.86500 
Arizona_Yavapai, 34.62500 ,-112.24750 
Arizona_Yuma, 32.71571 ,-114.23429 
Arkansas_Arkansas, 34.31700 ,-91.33900 
Arkansas_Ashley, 33.19714 ,-91.67286 
Arkansas_Baxter, 36.29167 ,-92.34667 
Arkansas_Benton, 36.36588 ,-94.29529 
Arkansas_Boone, 36.31500 ,-93.02500 
Arkansas_Bradley, 33.49000 ,-92.19250 
Arkansas_Calhoun, 33.65000 ,-92.47000 
Arkansas_Carroll, 36.37000 ,-93.52667 
Arkansas_Chicot, 33.31667 ,-91.32333 
Arkansas_Clark, 34.10600 ,-93.27200 
Arkansas_Clay, 36.35750 ,-90.44125 
Arkansas_Cleburne, 35.56700 ,-92.03300 
Arkansas_Cleveland, 33.85667 ,-92.22333 
Arkansas_Columbia, 33.23000 ,-93.27400 
Arkansas_Conway, 35.27000 ,-92.66143 
Arkansas_Craighead, 35.82600 ,-90.56800 
Arkansas_Crawford, 35.56000 ,-94.27333 
Arkansas_Crittenden, 35.21333 ,-90.27500 
Arkansas_Cross, 35.32250 ,-90.76750 
Arkansas_Dallas, 33.93000 ,-92.60000 
Arkansas_Desha, 33.78000 ,-91.39000 
Arkansas_Drew, 33.62000 ,-91.85500 
Arkansas_Faulkner, 35.16900 ,-92.34500 
Arkansas_Franklin, 35.39000 ,-93.90800 
Arkansas_Fulton, 36.38111 ,-91.82333 
Arkansas_Garland, 34.53250 ,-93.12000 
Arkansas_Grant, 34.24000 ,-92.49400 
Arkansas_Greene, 36.14833 ,-90.57667 
Arkansas_Hempstead, 33.77250 ,-93.71250 
Arkansas_Hot Spring, 34.31000 ,-93.06000 
Arkansas_Howard, 34.05250 ,-93.97250 
Arkansas_Independence, 35.68917 ,-91.53583 
Arkansas_Izard, 36.12857 ,-91.91643 
Arkansas_Jackson, 35.62800 ,-91.22200 
Arkansas_Jefferson, 34.33000 ,-91.98778 
Arkansas_Johnson, 35.50125 ,-93.47625 
Arkansas_Lafayette, 33.28750 ,-93.53500 
Arkansas_Lawrence, 36.01333 ,-91.15333 
Arkansas_Lee, 34.80333 ,-90.77333 
Arkansas_Lincoln, 33.99667 ,-91.69667 
Arkansas_Little River, 33.69750 ,-94.22500 
Arkansas_Logan, 35.25875 ,-93.66875 
Arkansas_Lonoke, 34.78500 ,-91.92625 
Arkansas_Madison, 35.96000 ,-93.74375 
Arkansas_Marion, 36.31000 ,-92.69500 
Arkansas_Miller, 33.28250 ,-93.89750 
Arkansas_Mississippi, 35.69900 ,-90.08800 
Arkansas_Monroe, 34.69750 ,-91.26500 
Arkansas_Montgomery, 34.57286 ,-93.66857 
Arkansas_Nevada, 33.70250 ,-93.31000 
Arkansas_Newton, 35.98700 ,-93.17900 
Arkansas_Ouachita, 33.55600 ,-92.86200 
Arkansas_Perry, 35.02000 ,-92.80667 
Arkansas_Phillips, 34.50500 ,-90.77000 
Arkansas_Pike, 34.19000 ,-93.66667 
Arkansas_Poinsett, 35.56429 ,-90.59857 
Arkansas_Polk, 34.39833 ,-94.33500 
Arkansas_Pope, 35.39556 ,-93.05556 
Arkansas_Prairie, 34.84000 ,-91.51500 
Arkansas_Pulaski, 34.76000 ,-92.32000 
Arkansas_Randolph, 36.33000 ,-91.01500 
Arkansas_Saline, 34.59900 ,-92.58100 
Arkansas_Scott, 34.81250 ,-93.93500 
Arkansas_Searcy, 35.89200 ,-92.66200 
Arkansas_Sebastian, 35.24917 ,-94.32417 
Arkansas_Sevier, 34.02500 ,-94.29250 
Arkansas_Sharp, 36.13875 ,-91.49125 
Arkansas_St Francis, 35.00571 ,-90.74286 
Arkansas_Stone, 35.86125 ,-92.17750 
Arkansas_Union, 33.16286 ,-92.58143 
Arkansas_Van Buren, 35.55286 ,-92.49571 
Arkansas_Washington, 35.98667 ,-94.25067 
Arkansas_White, 35.21750 ,-91.80833 
Arkansas_Woodruff, 35.17667 ,-91.26667 
Arkansas_Yell, 35.00900 ,-93.41900 
California_Alameda, 37.73449 ,-122.13082 
California_Alpine, 38.73000 ,-119.84000 
California_Amador, 38.43750 ,-120.67000 
California_Butte, 39.61188 ,-121.57875 
California_Calaveras, 38.21923 ,-120.51692 
California_Colusa, 39.16750 ,-122.20500 
California_Contra Costa, 37.92081 ,-122.04568 
California_Del Norte, 41.78500 ,-124.03750 
California_El Dorado, 38.75632 ,-120.72316 
California_Fresno, 36.71300 ,-119.72100 
California_Glenn, 39.54000 ,-122.19500 
California_Humboldt, 40.60931 ,-123.95379 
California_Imperial, 32.97364 ,-115.48273 
California_Inyo, 36.68167 ,-117.78667 
California_Kern, 35.36818 ,-118.81409 
California_Kings, 36.14571 ,-119.79857 
California_Lake, 39.04077 ,-122.76077 
California_Lassen, 40.50800 ,-120.53400 
California_Los Angeles, 34.06997 ,-118.25318 
California_Madera, 37.16769 ,-119.77462 
California_Marin, 37.99350 ,-122.61700 
California_Mariposa, 37.55125 ,-120.01875 
California_Mendocino, 39.33080 ,-123.51640 
California_Merced, 37.29500 ,-120.62444 
California_Modoc, 41.54857 ,-120.46286 
California_Mono, 38.10000 ,-119.12167 
California_Monterey, 36.51083 ,-121.56833 
California_Napa, 38.48111 ,-122.37778 
California_Nevada, 39.25429 ,-120.93571 
California_Orange, 33.72393 ,-117.83899 
California_Placer, 38.90667 ,-121.10056 
California_Plumas, 39.97000 ,-120.75083 
California_Riverside, 33.77868 ,-116.94647 
California_Sacramento, 38.54830 ,-121.38981 
California_San Benito, 36.75500 ,-121.25000 
California_San Bernardino, 34.33934 ,-116.95066 
California_San Diego, 32.89545 ,-117.02901 
California_San Francisco, 37.75931 ,-122.42310 
California_San Joaquin, 37.93407 ,-121.27926 
California_San Luis Obispo, 35.37857 ,-120.66810 
California_San Mateo, 37.49593 ,-122.32519 
California_Santa Barbara, 34.59579 ,-120.02474 
